hosting_id,commodity_raw,commodity_normalized
2992450,Smoke alarm,Smoke alarm
2992450,Essentials,Essentials
2992450,Heating,Heating
2992450,Wifi,WiFi
2992450,Air conditioning,Air conditioning
2992450,Carbon monoxide alarm,Carbon monoxide alarm
2992450,TV with standard cable,TV
2992450,Kitchen,Kitchen
3820211,Smart lock,Lock
3820211,"HDTV with standard cable, Apple TV",TV
3820211,Carbon monoxide alarm,Carbon monoxide alarm
3820211,Dedicated workspace,Workspace
3820211,Hangers,Hangers
3820211,Toaster,Other
3820211,Smoke alarm,Smoke alarm
3820211,Essentials,Essentials
3820211,Self check-in,Self check-in
3820211,Stove,Oven
3820211,Coffee,Coffee maker
3820211,Refrigerator,Refrigerator
3820211,Wifi,WiFi
3820211,Central air conditioning,Air conditioning
3820211,Iron,Iron
3820211,Free parking on premises,Parking
3820211,Heating,Heating
3820211,Free washer – In unit,Washer
3820211,Free dryer – In unit,Dryer
3820211,Microwave,Microwave
3820211,Pets allowed,Pets allowed
3820211,Kitchen,Kitchen
5651579,Carbon monoxide alarm,Carbon monoxide alarm
5651579,Dedicated workspace,Workspace
5651579,Hangers,Hangers
5651579,Backyard,Garden
5651579,Hot water,Other
5651579,Lockbox,Lock
5651579,Smoke alarm,Smoke alarm
5651579,Essentials,Essentials
5651579,Self check-in,Self check-in
5651579,Stove,Oven
5651579,Long term stays allowed,Long term stays
5651579,Refrigerator,Refrigerator
5651579,Fire extinguisher,Fire extinguisher
5651579,Wifi,WiFi
5651579,Air conditioning,Air conditioning
5651579,TV,TV
5651579,Coffee maker,Coffee maker
5651579,Iron,Iron
5651579,Free parking on premises,Parking
5651579,Heating,Heating
5651579,Free washer – In unit,Washer
5651579,Free dryer – In unit,Dryer
5651579,Microwave,Microwave
5651579,Kitchen,Kitchen
6623339,Carbon monoxide alarm,Carbon monoxide alarm
6623339,Dedicated workspace,Workspace
6623339,Hangers,Hangers
6623339,Bed linens,Other
6623339,Smoke alarm,Smoke alarm
6623339,Essentials,Essentials
6623339,Self check-in,Self check-in
6623339,Stove,Oven
6623339,TV with standard cable,TV
6623339,Refrigerator,Refrigerator
6623339,Wifi,WiFi
6623339,Air conditioning,Air conditioning
6623339,Patio or balcony,Patio
6623339,Coffee maker,Coffee maker
6623339,Keypad,Lock
6623339,Iron,Iron
6623339,Free parking on premises,Parking
6623339,Heating,Heating
6623339,Dishwasher,Washer
6623339,Dryer,Dryer
6623339,Microwave,Microwave
6623339,Pets allowed,Pets allowed
6623339,Kitchen,Kitchen
9005989,Window AC unit,Air conditioning
9005989,Carbon monoxide alarm,Carbon monoxide alarm
9005989,Hangers,Hangers
9005989,Hot water,Other
9005989,Smoke alarm,Smoke alarm
9005989,Essentials,Essentials
9005989,Self check-in,Self check-in
9005989,Stove,Oven
9005989,Long term stays allowed,Long term stays
9005989,Refrigerator,Refrigerator
9005989,Fire extinguisher,Fire extinguisher
9005989,Pack ’n play/Travel crib,Crib
9005989,Wifi,WiFi
9005989,TV,TV
9005989,Coffee maker,Coffee maker
9005989,Keypad,Lock
9005989,Heating,Heating
9005989,Dishwasher,Washer
9005989,Free street parking,Parking
9005989,Microwave,Microwave
9005989,Pets allowed,Pets allowed
9005989,Hair dryer,Dryer
