commodity_id,commodity_name
334,Wolf stove
291,Wolf stainless steel oven
295,Wolf electric stove
84,Wine glasses
192,Window guards
56,Window AC unit
145,Wifi – 49 Mbps
317,Wifi – 36 Mbps
4,Wifi
372,Whirlpool stainless steel gas stove
416,Whirlpool refrigerator
359,Whirlpool gas stove
370,Whirlpool  stainless steel double oven
369,Whirlpool  refrigerator
205,Waterfront
158,Washer – In unit
202,Washer – In building
54,Washer
339,Unique stainless steel oven
7,TV with standard cable
419,"TV with Roku, standard cable"
147,TV with Roku
441,"TV with Netflix, Roku"
271,TV with Netflix
49,TV
314,TRESemmé shampoo
311,TRESemmé conditioner
456,TréSemme conditioner
105,Trash compactor
13,Toaster
462,Theme room
133,Table corner guards
98,Sun loungers
285,Suave shampoo
283,Suave conditioner
412,Suave body soap
401,Suave and other comparable brands  body soap
243,Suave  shampoo
242,Suave  conditioner
286,Suave  body soap
18,Stove
346,Standalone high chair - available upon request
284,Standalone high chair
380,Stainless steel single oven
96,Stainless steel oven
463,Stainless steel induction stove
238,Stainless steel gas stove
195,Stainless steel electric stove
426,Stainless steel double oven
154,Sound system
79,Sonos sound system with Bluetooth and aux
264,Sonos sound system with aux
436,Smoking allowed
1,Smoke alarm
9,Smart lock
246,Single oven
62,Single level home
33,Shower gel
223,"Shared pool - available seasonally, open 24 hours"
336,Shared pool - available seasonally
333,Shared pool
106,Shared patio or balcony
297,"Shared outdoor pool - available seasonally, open 24 hours, heated, pool toys"
424,"Shared hot tub - available all year, open 24 hours"
406,Shared hot tub - available all year
220,Shared hot tub
444,Shared gym in building
201,Shared gym
427,Shared BBQ grill: gas
353,Shared BBQ grill: charcoal
210,Shared backyard – Not fully fenced
117,Shared backyard – Fully fenced
442,Shared backyard
434,Shampoo shampoo
15,Shampoo
16,Self check-in
250,Sauve  conditioner
391,Samsung stainless steel single oven
196,Samsung stainless steel oven
393,Samsung stainless steel gas stove
265,Samsung stainless steel electric stove
410,Samsung single oven
199,Samsung refrigerator
229,Samsung gas stove
342,Samsung electric stove
68,Safe
82,Room-darkening shades
225,River view
91,Rice maker
433,Refrigerator refrigerator
21,Refrigerator
309,Record player
149,Radiant heating
302,Rad body soap
365,Public Goods shampoo
366,Public Goods conditioner
367,Public Goods body soap
135,Private sauna
90,Private patio or balcony
305,"Private outdoor pool - available seasonally, open 24 hours, heated"
171,Private living room
304,Private hot tub
137,Private gym in building
47,Private entrance
235,Private BBQ grill: gas
414,"Private BBQ grill: charcoal, wood-burning"
445,Private BBQ grill
86,Private backyard – Not fully fenced
123,Private backyard – Fully fenced
139,Private backyard
259,Portable heater
58,Portable fans
151,Portable air conditioning
222,Pool view
218,Pool table
161,Pocket wifi
253,Ping pong table
468,Piano
268,Phillips Bluetooth sound system
40,Pets allowed
51,Patio or balcony
143,Park view
152,Paid washer – In building
167,Paid washer
208,Paid street parking off premises
172,Paid parking on premises
173,Paid parking off premises
469,Paid parking lot on premises – 1 space
294,Paid parking lot on premises
165,Paid parking lot off premises
177,Paid parking garage off premises
150,Paid dryer – In building
194,Pack ’n play/Travel crib - available upon request
174,Pack ’n play/Travel crib - always at the listing
57,Pack ’n play/Travel crib
36,Oven
93,Outlet covers
224,Outdoor shower
413,Outdoor playground
204,Outdoor kitchen
70,Outdoor furniture
67,Outdoor dining area
130,Organic conditioner
129,Organic body soap
378,Olay  body soap
430,NuWave induction stove
267,Not Sure stove
270,Not sure oven
374,Nonspecific  shampoo
373,Nonspecific  conditioner
375,Nonspecific  body soap
398,Non specific  shampoo
400,Non specific  conditioner
37,Noise decibel monitors on property
429,Ninja Convection Air Fryer Oven stainless steel double oven
392,Movie theater
319,Mosquito net
254,Mini golf
60,Mini fridge
38,Microwave
48,Luggage dropoff allowed
240,"Love, Beauty, & Planet body soap"
45,Long term stays allowed
44,Lockbox
61,Lock on bedroom door
415,Life size games
360,LG refrigerator
193,LG electric stove
59,Laundromat nearby
122,Lake access
164,Kitchenette
8,Kitchen
52,Keypad
316,Kenmore refrigerator
402,Kayak
28,Iron
176,Induction stove
357,Indoor fireplace: wood-burning
81,Indoor fireplace: gas
213,Indoor fireplace: electric
169,Indoor fireplace
395,IHome Bluetooth sound system
351,IHome  Bluetooth sound system
454,Housekeeping available from 11:30 AM to 3:00 PM - available at extra cost
428,"Housekeeping available from 11:00 AM to 5:00 PM, 5 days a week - available at extra cost"
452,"Housekeeping available from 10:00 AM to 2:00 PM, Tuesday, Thursday - available at extra cost"
446,"Housekeeping available from 10:00 AM to 1:00 PM, every day - available at extra cost"
141,"Housekeeping available 24 hours, every day - available at extra cost"
352,"Housekeeping available 24 hours, every day"
451,Housekeeping available 2 days a week - available at extra cost
453,Housekeeping available 1 day a week
321,Housekeeping - available at extra cost
308,Hotpoint refrigerator
306,Hotpoint oven
307,Hotpoint gas stove
80,Hot water kettle
41,Hot water
467,"Hot tub - available all year, open 24 hours"
439,Hot tub
99,Host greets you
435,Hockey rink
83,High chair
299,Heating - split type ductless system
3,Heating
407,Head and Shoulders shampoo
303,Head and Shoulders conditioner
408,Head and Shoulders body soap
405,Head & Shoulder  shampoo
10,"HDTV with standard cable, Apple TV"
385,HDTV with Roku
350,"HDTV with Netflix, Hulu, Roku"
109,HDTV with Netflix
181,"HDTV with Hulu, Netflix, Roku, Fire TV"
396,"HDTV with Hulu, Netflix, Roku"
275,"HDTV with HBO Max, Netflix, Disney+"
282,"HDTV with HBO Max, Disney+, standard cable, Amazon Prime Video, Hulu, Netflix"
217,HDTV with HBO Max
273,"HDTV with Disney+, Netflix, HBO Max"
383,"HDTV with Apple TV, Disney+, Amazon Prime Video, HBO Max, Hulu, Netflix"
146,"HDTV with Amazon Prime Video, Netflix, DVD player"
312,"HDTV with Amazon Prime Video, Hulu, Netflix, Roku"
175,"HDTV with Amazon Prime Video, Hulu, Netflix"
155,"HDTV with Amazon Prime Video, Apple TV, Hulu, Netflix, premium cable, Roku"
126,HDTV
12,Hangers
159,Hammock
39,Hair dryer
459,Gym nearby
443,Gym in building
170,Gym
399,Generic body soap
388,General Electric (GE) stainless steel single oven
389,General Electric (GE) refrigerator
404,GE stainless steel single oven
211,GE stainless steel oven
76,GE stainless steel gas stove
387,GE stainless steel electric stove
188,GE single oven
248,GE refrigerator
288,Ge refrigerator
325,GE oven
212,GE gas stove
354,GE electric stove
327,GE conditioner
100,Gas stove
77,Garden view
421,Game console: PS3
69,Game console
252,Galanz refrigerator
449,Frigidaire stove
187,Frigidaire stainless steel gas stove
189,Frigidaire refrigerator
448,Frigidaire oven
420,Frigidaire electric stove
323,Frigidaire electric range  oven
328,Frigidaire  stove
324,Frigidaire  refrigerator
455,Frigidaire  oven
411,Fridgeair refrigerator
14,Freezer
31,Free washer – In unit
102,Free washer – In building
50,Free street parking
215,Free residential garage on premises
437,Free parking on premises – 2 spaces
207,Free parking on premises – 1 space
30,Free parking on premises
278,Free parking garage on premises – 1 space
438,Free parking garage on premises
32,Free dryer – In unit
103,Free dryer – In building
390,Free dryer
262,Free driveway parking on premises – 4 spaces
418,Free driveway parking on premises – 3 spaces
112,Free driveway parking on premises – 2 spaces
277,Free driveway parking on premises – 1 space
118,Free driveway parking on premises
134,Free carport on premises – 3 spaces
423,Free carport on premises – 1 space
466,Folding or convertible high chair - always at the listing
75,First aid kit
168,Fireplace guards
97,Fire pit
46,Fire extinguisher
183,Fast wifi – 95 Mbps
257,Fast wifi – 654 Mbps
403,Fast wifi – 549 Mbps
363,Fast wifi – 54 Mbps
300,Fast wifi – 478 Mbps
362,Fast wifi – 458 Mbps
318,Fast wifi – 453 Mbps
341,Fast wifi – 433 Mbps
290,Fast wifi – 421 Mbps
266,Fast wifi – 384 Mbps
461,Fast wifi – 365 Mbps
338,Fast wifi – 327 Mbps
457,Fast wifi – 301 Mbps
230,Fast wifi – 226 Mbps
329,Fast wifi – 171 Mbps
53,Extra pillows and blankets
72,Exterior security cameras on property
272,Exercise equipment: yoga mat
263,Exercise equipment: treadmill
281,"Exercise equipment: stationary bike, yoga mat"
276,Exercise equipment: stationary bike
132,"Exercise equipment: free weights, yoga mat"
180,"Exercise equipment: free weights, treadmill, yoga mat"
379,"Exercise equipment: free weights, stationary bike, yoga mat, workout bench"
108,Exercise equipment
384,EV charger - level 2
340,EV charger - level 1
63,Ethernet connection
2,Essentials
191,Elevator
120,Electric stove
87,Drying rack for clothing
142,Dryer – In unit
233,Dryer – In building
55,Dryer
166,Dr. Bronner body soap
138,Dove shampoo
186,Dove or Yardley London body soap
355,Dove conditioner
356,Dove body soap
140,Dove  conditioner
244,Dove  body soap
440,Double oven
35,Dishwasher
17,Dishes and silverware
23,Dining table
315,Dial body soap
11,Dedicated workspace
228,Crib - available upon request
258,Crib - always at the listing
111,Crib
247,Courtyard view
34,Cooking basics
431,Conditioner conditioner
20,Conditioner
216,Coffee maker: pour-over coffee
214,Coffee maker: Nespresso
144,Coffee maker: Keurig coffee machine
376,"Coffee maker: french press, Keurig coffee machine"
313,Coffee maker: french press
450,Coffee maker: espresso machine
239,"Coffee maker: drip coffee maker, pour-over coffee"
425,"Coffee maker: drip coffee maker, Keurig coffee machine, Nespresso"
115,"Coffee maker: drip coffee maker, Keurig coffee machine"
349,"Coffee maker: drip coffee maker, french press, pour-over coffee"
382,"Coffee maker: drip coffee maker, french press, Keurig coffee machine"
237,"Coffee maker: drip coffee maker, french press"
127,Coffee maker: drip coffee maker
27,Coffee maker
19,Coffee
234,Clothing storage: wardrobe and dresser
110,"Clothing storage: walk-in closet, closet, wardrobe, and dresser"
320,"Clothing storage: walk-in closet, closet, and dresser"
95,Clothing storage: walk-in closet and wardrobe
274,Clothing storage: walk-in closet and dresser
255,Clothing storage: walk-in closet and closet
148,Clothing storage: walk-in closet
289,Clothing storage: dresser
269,"Clothing storage: closet, wardrobe, and dresser"
279,Clothing storage: closet and wardrobe
124,Clothing storage: closet and dresser
101,Clothing storage: closet
25,Clothing storage
29,Cleaning products
89,Cleaning available during stay
184,City skyline view
119,Children’s dinnerware
381,Children’s books and toys for ages 2-5 years old and 5-10 years old
345,"Children’s books and toys for ages 0-2 years old, 2-5 years old, and 5-10 years old"
226,Children’s books and toys for ages 0-2 years old and 2-5 years old
113,Children’s books and toys
157,Children’s bikes
153,Changing table - available upon request
116,Central heating
26,Central air conditioning
94,Ceiling fan
6,Carbon monoxide alarm
160,Building staff
104,Breakfast
292,Bread maker
221,Boston Acoustics Bluetooth sound system
293,Boston acoustics  sound system
136,Bose sound system
85,Books and reading material
432,Bodysoap body soap
24,Body soap
74,Board games
227,Bluetooth Speaker Bluetooth sound system
197,Bluetooth sound system
88,Blender
179,Bikes
107,Bidet
43,Bed linens
331,Beach essentials
131,BBQ grill: gas
182,BBQ grill: charcoal
92,BBQ grill
73,Bathtub
66,Barbecue utensils
22,Baking sheet
409,Backyard - Fully fenced
42,Backyard
78,Babysitter recommendations
65,Baby safety gates
156,Baby bath - available upon request
71,Baby bath
200,Arcade games
322,Amana stove
5,Air conditioning
162,AC - split type ductless system
198,"100 inch HDTV with HBO Max, Chromecast"
236,"85 inch HDTV with Amazon Prime Video, Apple TV, Hulu, Netflix, premium cable"
371,"80 inch HDTV with Roku, premium cable"
460,"75 inch HDTV with Amazon Prime Video, Apple TV, Disney+, Hulu, Netflix, Roku"
422,"70 inch HDTV with Amazon Prime Video, Disney+, Hulu, Netflix, Roku, Chromecast"
203,68 inch HDTV with Chromecast
64,"65 inch HDTV with Roku, premium cable, Amazon Prime Video, standard cable, Apple TV, Netflix, Hulu"
128,"65 inch HDTV with Netflix, premium cable, Hulu, Roku, Amazon Prime Video"
219,"65 inch HDTV with Hulu, Disney+, HBO Max, Amazon Prime Video, Netflix"
231,65 inch HDTV with Roku
261,"65 inch HDTV with standard cable, Netflix, Apple TV, Hulu, Amazon Prime Video, premium cable, Roku"
301,65 inch HDTV with Amazon Prime Video
358,"65 inch HDTV with Fire TV, HBO Max, Amazon Prime Video, Apple TV, Hulu, Disney+, Netflix"
361,"65 inch HDTV with Netflix, HBO Max, Amazon Prime Video"
394,"65 inch TV with Chromecast, Netflix, Roku"
256,"60 inch HDTV with Amazon Prime Video, Apple TV, Chromecast, Disney+, Hulu, Netflix"
298,60 inch HDTV with Hulu
249,"58 inch HDTV with Roku, standard cable, Netflix"
287,"58 inch HDTV with Amazon Prime Video, Fire TV, HBO Max, Disney+, Apple TV, Netflix, Roku, Hulu"
121,"55 inch HDTV with Amazon Prime Video, Apple TV, Hulu, Netflix, premium cable, Roku, standard cable"
232,"55 inch HDTV with Chromecast, Roku"
260,"55 inch HDTV with Amazon Prime Video, Hulu, Netflix"
280,"55 inch HDTV with Roku, standard cable"
296,55 inch HDTV
310,"55 inch HDTV with Roku, Hulu"
337,"55 inch HDTV with Amazon Prime Video, premium cable"
343,55 inch HDTV with Netflix
344,"55 inch HDTV with Amazon Prime Video, Chromecast, Disney+, Fire TV, Hulu, Netflix"
347,"55 inch HDTV with HBO Max, Netflix, Hulu, Fire TV, Amazon Prime Video, Disney+, Apple TV"
417,"55 inch HDTV with Fire TV, Amazon Prime Video, Roku"
447,"55 inch HDTV with Amazon Prime Video, Apple TV, Disney+, HBO Max, Hulu, Netflix"
190,"52 inch HDTV with Amazon Prime Video, Chromecast, Disney+, Fire TV, Hulu, Netflix"
335,52 inch HDTV with Amazon Prime Video
209,50 inch HDTV with Roku
364,50 inch TV with Fire TV
464,50 inch TV with Roku
251,43 inch HDTV
465,43 inch TV
178,"42 inch HDTV with Amazon Prime Video, Chromecast, Fire TV"
206,42 inch HDTV with Roku
245,42 inch TV
386,"42 inch TV with Amazon Prime Video, Hulu, Netflix, Roku"
397,42 inch HDTV
114,40 inch HDTV with standard cable
125,"40 inch HDTV with Fire TV, Hulu, Netflix"
241,"40 inch HDTV with Roku, Netflix"
326,"40 inch TV with Amazon Prime Video, Netflix, Roku, Fire TV"
368,"40 inch HDTV with Hulu, Netflix, Fire TV"
377,40 inch HDTV with Netflix
458,"40 inch HDTV with Netflix, Hulu, Amazon Prime Video"
163,"32 inch HDTV with HBO Max, Roku, standard cable, Hulu, Amazon Prime Video, Netflix"
185,32 inch TV
330,32 inch HDTV
332,32 inch HDTV with Amazon Prime Video
348,"32 inch HDTV with Amazon Prime Video, Netflix, DVD player"
