host_id,response_time,avg_score,total_hostings,superhost,data_empezou_valer,data_deixou_valer,actual
65760,within an hour,3.9,1,0,2025-04-19 00:00:00,,1
649068,within an hour,4.19,1,0,2020-04-23 00:00:00,2022-12-17 00:00:00,0
649068,within an hour,4.39,1,0,2022-12-17 00:00:00,,1
1017349,within a day,3.5,1,0,2024-10-26 00:00:00,,1
1364123,within an hour,4.12,1,0,2016-07-01 00:00:00,2021-01-23 00:00:00,0
1364123,within an hour,4.32,1,0,2021-01-23 00:00:00,,1
1717342,within an hour,4.1,2,1,2022-08-19 00:00:00,2024-02-25 00:00:00,0
1717342,within an hour,4.3,3,1,2024-02-25 00:00:00,,1
3650672,within an hour,3.7,1,0,2024-07-26 00:00:00,,1
4259750,within an hour,4.08,8,1,2016-05-29 00:00:00,2021-01-08 00:00:00,0
4259750,within an hour,4.28,12,1,2021-01-08 00:00:00,,1
4621559,N/A,4.61,1,0,2014-07-01 00:00:00,2018-07-24 00:00:00,0
4621559,N/A,4.81,1,1,2018-07-24 00:00:00,,1
5691268,within an hour,4.0,2,1,2016-02-05 00:00:00,2020-11-12 00:00:00,0
5691268,within an hour,4.2,3,1,2020-11-12 00:00:00,,1
6203319,within an hour,4.31,2,1,2022-12-01 00:00:00,,1
6833937,N/A,4.03,1,0,2018-08-05 00:00:00,2022-02-17 00:00:00,0
6833937,N/A,4.23,1,1,2022-02-17 00:00:00,,1
7164949,within a day,,1,0,2025-11-19 00:00:00,,1
9666970,within an hour,4.05,1,0,2018-06-09 00:00:00,2022-01-13 00:00:00,0
9666970,within an hour,4.25,1,1,2022-01-13 00:00:00,,1
10279606,within an hour,3.99,4,1,2022-11-17 00:00:00,,1
14817455,within a day,,1,0,2025-11-19 00:00:00,,1
15223767,within an hour,4.06,3,1,2018-10-17 00:00:00,2022-03-17 00:00:00,0
15223767,within an hour,4.26,4,1,2022-03-17 00:00:00,,1
17766924,N/A,4.04,1,1,2016-08-07 00:00:00,2021-02-03 00:00:00,0
17766924,N/A,4.24,1,1,2021-02-03 00:00:00,,1
19648678,within an hour,4.17,5,1,2014-08-15 00:00:00,2020-02-22 00:00:00,0
19648678,within an hour,4.37,7,1,2020-02-22 00:00:00,,1
20144241,within an hour,4.0,1,1,2023-05-28 00:00:00,,1
20536619,within a day,4.27,13,1,2023-07-31 00:00:00,,1
21886921,within an hour,4.21,2,1,2021-04-13 00:00:00,2023-06-04 00:00:00,0
21886921,within an hour,4.41,3,1,2023-06-04 00:00:00,,1
29288920,within an hour,4.05,2,0,2015-05-08 00:00:00,2020-06-25 00:00:00,0
29288920,within an hour,4.25,3,1,2020-06-25 00:00:00,,1
29483818,within an hour,4.1,1,1,2024-07-01 00:00:00,,1
31318080,within an hour,4.13,1,1,2024-02-17 00:00:00,,1
32379616,within an hour,4.0,5,0,2025-06-30 00:00:00,,1
35465673,within an hour,4.14,1,1,2021-10-17 00:00:00,2023-09-18 00:00:00,0
35465673,within an hour,4.34,1,1,2023-09-18 00:00:00,,1
36438637,within an hour,4.17,2,0,2016-08-07 00:00:00,2020-12-22 00:00:00,0
36438637,within an hour,4.37,3,1,2020-12-22 00:00:00,,1
37769478,within an hour,3.99,12,1,2022-01-08 00:00:00,2023-11-06 00:00:00,0
37769478,within an hour,4.19,18,1,2023-11-06 00:00:00,,1
38324986,within an hour,,1,0,2025-11-19 00:00:00,,1
42708277,within an hour,4.03,4,0,2023-11-05 00:00:00,,1
44434571,within an hour,4.02,11,1,2018-11-25 00:00:00,2022-04-15 00:00:00,0
44434571,within an hour,4.22,16,1,2022-04-15 00:00:00,,1
46312980,within an hour,4.15,2,1,2024-04-16 00:00:00,,1
47491906,within an hour,4.07,1,1,2020-01-15 00:00:00,2022-08-01 00:00:00,0
47491906,within an hour,4.27,1,1,2022-08-01 00:00:00,,1
47625981,within an hour,4.07,18,0,2021-01-26 00:00:00,2023-05-08 00:00:00,0
47625981,within an hour,4.27,27,1,2023-05-08 00:00:00,,1
48490017,within a day,4.23,1,0,2021-08-15 00:00:00,2023-08-17 00:00:00,0
48490017,within a day,4.43,1,0,2023-08-17 00:00:00,,1
49372011,within a day,4.29,1,0,2023-04-14 00:00:00,,1
51050977,within an hour,4.5,2,0,2024-06-29 00:00:00,,1
52123673,within an hour,3.81,3,1,2024-09-12 00:00:00,,1
52464523,N/A,4.11,1,1,2024-01-02 00:00:00,,1
54394342,within an hour,4.27,1,1,2018-09-25 00:00:00,2022-03-14 00:00:00,0
54394342,within an hour,4.47,1,1,2022-03-14 00:00:00,,1
55596850,within an hour,4.14,3,0,2025-04-30 00:00:00,,1
58406953,within a day,4.5,1,0,2022-10-04 00:00:00,,1
59864591,N/A,4.12,1,0,2021-04-03 00:00:00,,1
