EVENT_NAME,EVENT_TYPE,IMPACT,PLACE_ID,EVENT_DATE
Music Festival in Schenectady (USA),Festival,High,Broadway_Schenectady_USA,2017-07-31 00:00:00
Football Match in Schenectady (USA),Sports,Low,Broadway_Schenectady_USA,2022-10-03 00:00:00
Rock Concert in Troy (USA),Concert,High,LarkSt_Troy_USA,2019-03-25 00:00:00
Music Festival in Troy (USA),Festival,Low,LarkSt_Troy_USA,2016-12-12 00:00:00
Rock Concert in Troy (USA),Concert,High,StateSt_Troy_USA,2016-09-22 00:00:00
Pop Music Live in Troy (USA),Concert,Low,StateSt_Troy_USA,2019-07-14 00:00:00
Tech Conference in Albany (USA),Conference,Low,LarkSt_Albany_USA,2022-04-29 00:00:00
Heritage Day in Albany (USA),Holiday,Medium,LarkSt_Albany_USA,2016-03-28 00:00:00
Music Festival in Albany (USA),Festival,Medium,SouthSt_Albany_USA,2015-08-01 00:00:00
Startup Meetup in Troy (USA),Conference,Low,ParkAve_Troy_USA,2022-09-05 00:00:00
Rock Concert in Albany (USA),Concert,Medium,MadisonAve_Albany_USA,2015-05-19 00:00:00
Startup Meetup in Albany (USA),Conference,High,StateSt_Albany_USA,2016-08-26 00:00:00
Music Festival in Albany (USA),Festival,High,StateSt_Albany_USA,2017-01-19 00:00:00
Food Festival in Albany (USA),Festival,Low,HudsonAve_Albany_USA,2018-10-04 00:00:00
Heritage Day in Albany (USA),Holiday,Low,DelawareAve_Albany_USA,2018-08-25 00:00:00
Basketball Tournament in Albany (USA),Sports,High,PearlSt_Albany_USA,2024-12-31 00:00:00
Food Festival in Albany (USA),Festival,High,PearlSt_Albany_USA,2022-09-03 00:00:00
Football Match in Albany (USA),Sports,Medium,PearlSt_Albany_USA,2018-10-02 00:00:00
Classical Concert in Troy (USA),Concert,High,JaySt_Troy_USA,2018-02-18 00:00:00
Heritage Day in Albany (USA),Holiday,Low,SouthSt_Albany_USA,2016-11-11 00:00:00
Business Summit in Troy (USA),Conference,High,PearlSt_Troy_USA,2020-02-04 00:00:00
City Anniversary in Troy (USA),Holiday,Low,PearlSt_Troy_USA,2017-06-19 00:00:00
Jazz Night in Troy (USA),Concert,High,WashingtonAve_Troy_USA,2021-01-19 00:00:00
City Anniversary in Troy (USA),Holiday,Medium,WashingtonAve_Troy_USA,2016-12-15 00:00:00
Local Holiday in Albany (USA),Holiday,Low,WashingtonAve_Albany_USA,2024-02-26 00:00:00
Food Festival in Albany (USA),Festival,High,WashingtonAve_Albany_USA,2016-04-16 00:00:00
