PLACE_ID,STREET,CITY,COUNTRY,LATITUD,LONGITUD
Broadway_Schenectady_USA,Broadway,Schenectady,USA,41.634891,-72.03743
Broadway_Albany_USA,Broadway,Albany,USA,42.761657,-73.871346
LarkSt_Troy_USA,Lark St,Troy,USA,44.452854,-74.227608
JaySt_Albany_USA,Jay St,Albany,USA,42.63249,-73.841142
StateSt_Troy_USA,State St,Troy,USA,41.865115,-71.76577
LarkSt_Albany_USA,Lark St,Albany,USA,42.607003,-73.738457
Broadway_Troy_USA,Broadway,Troy,USA,44.782705,-74.349229
SouthSt_Albany_USA,South St,Albany,USA,42.699986,-73.792053
ParkAve_Troy_USA,Park Ave,Troy,USA,42.636505,-71.372353
MadisonAve_Albany_USA,Madison Ave,Albany,USA,42.641657,-73.731287
StateSt_Albany_USA,State St,Albany,USA,42.729325,-73.788435
HudsonAve_Albany_USA,Hudson Ave,Albany,USA,42.745232,-73.700592
DelawareAve_Albany_USA,Delaware Ave,Albany,USA,42.752717,-73.777265
PearlSt_Albany_USA,Pearl St,Albany,USA,42.753647,-73.721537
PearlSt_Albany_USA,Pearl St,Albany,USA,42.744954,-73.865829
JaySt_Troy_USA,Jay St,Troy,USA,44.620845,-74.59564
MadisonAve_Albany_USA,Madison Ave,Albany,USA,42.674807,-73.743109
LarkSt_Schenectady_USA,Lark St,Schenectady,USA,42.963866,-74.23383
MadisonAve_Albany_USA,Madison Ave,Albany,USA,42.770024,-73.761754
SouthSt_Albany_USA,South St,Albany,USA,42.791658,-73.815342
PearlSt_Troy_USA,Pearl St,Troy,USA,42.729745,-73.39927
SouthSt_Troy_USA,South St,Troy,USA,41.34647,-73.388836
DelawareAve_Troy_USA,Delaware Ave,Troy,USA,42.686955,-74.510781
WashingtonAve_Troy_USA,Washington Ave,Troy,USA,41.392318,-72.249783
Broadway_Schenectady_USA,Broadway,Schenectady,USA,40.45322,-73.289744
WashingtonAve_Albany_USA,Washington Ave,Albany,USA,42.676471,-73.712695
TenBroeckSt_Schenectady_USA,Ten Broeck St,Schenectady,USA,44.633975,-70.722398
SouthSt_Troy_USA,South St,Troy,USA,41.765327,-73.619474
NorthSt_Albany_USA,North St,Albany,USA,42.714891,-73.849801
DelawareAve_Schenectady_USA,Delaware Ave,Schenectady,USA,41.23361,-74.737831
DelawareAve_Albany_USA,Delaware Ave,Albany,USA,42.620737,-73.81763
JaySt_Troy_USA,Jay St,Troy,USA,42.153232,-71.812028
TenBroeckSt_Albany_USA,Ten Broeck St,Albany,USA,42.714175,-73.789809
JaySt_Albany_USA,Jay St,Albany,USA,42.706175,-73.712888
LarkSt_Schenectady_USA,Lark St,Schenectady,USA,44.295098,-72.549074
PearlSt_Albany_USA,Pearl St,Albany,USA,42.784234,-73.766645
ClintonAve_Albany_USA,Clinton Ave,Albany,USA,42.664965,-73.868271
CentralAve_Albany_USA,Central Ave,Albany,USA,42.643383,-73.83601
